systemCode,systemName,seriesCode,seriesName,fieldCode,fieldName,appTypeCode,appCode,appName
系统编号,系统,系列编号,系列,领域分类编号,领域分类,AP类型编号,APP编号,APP English
00,BM-BIG-MANAGEMENT,00,PLAN,00,PlanWork,00,00,-
00,BM-BIG-MANAGEMENT,00,PLAN,00,PlanWork,00,01,-
00,BM-BIG-MANAGEMENT,00,PLAN,00,PlanWork,00,02,-
00,BM-BIG-MANAGEMENT,00,PLAN,00,PlanWork,00,03,-
00,BM-BIG-MANAGEMENT,00,PLAN,00,PlanWork,00,04,-
00,BM-BIG-MANAGEMENT,00,PLAN,00,PlanWork,00,05,-
00,BM-BIG-MANAGEMENT,00,PLAN,00,PlanWork,00,06,-
00,BM-BIG-MANAGEMENT,00,PLAN,00,PlanWork,00,07,-
00,BM-BIG-MANAGEMENT,00,PLAN,00,PlanWork,00,08,-
00,BM-BIG-MANAGEMENT,00,PLAN,00,PlanWork,00,09,-
00,BM-BIG-MANAGEMENT,00,PLAN,01,PlanLife,00,00,-
00,BM-BIG-MANAGEMENT,00,PLAN,01,PlanLife,00,01,-
00,BM-BIG-MANAGEMENT,00,PLAN,01,PlanLife,00,02,-
00,BM-BIG-MANAGEMENT,00,PLAN,01,PlanLife,00,03,-
00,BM-BIG-MANAGEMENT,00,PLAN,01,PlanLife,00,04,-
00,BM-BIG-MANAGEMENT,00,PLAN,01,PlanLife,00,05,-
00,BM-BIG-MANAGEMENT,00,PLAN,01,PlanLife,00,06,-
00,BM-BIG-MANAGEMENT,00,PLAN,01,PlanLife,00,07,-
00,BM-BIG-MANAGEMENT,00,PLAN,01,PlanLife,00,08,-
00,BM-BIG-MANAGEMENT,00,PLAN,01,PlanLife,00,09,-
00,BM-BIG-MANAGEMENT,00,PLAN,02,PlanStudy,00,00,-
00,BM-BIG-MANAGEMENT,00,PLAN,02,PlanStudy,00,01,-
00,BM-BIG-MANAGEMENT,00,PLAN,02,PlanStudy,00,02,-
00,BM-BIG-MANAGEMENT,00,PLAN,02,PlanStudy,00,03,-
00,BM-BIG-MANAGEMENT,00,PLAN,02,PlanStudy,00,04,-
00,BM-BIG-MANAGEMENT,00,PLAN,02,PlanStudy,00,05,-
00,BM-BIG-MANAGEMENT,00,PLAN,02,PlanStudy,00,06,-
00,BM-BIG-MANAGEMENT,00,PLAN,02,PlanStudy,00,07,-
00,BM-BIG-MANAGEMENT,00,PLAN,02,PlanStudy,00,08,-
00,BM-BIG-MANAGEMENT,00,PLAN,02,PlanStudy,00,09,-
00,BM-BIG-MANAGEMENT,00,PLAN,03,PlanResult,00,00,-
00,BM-BIG-MANAGEMENT,00,PLAN,03,PlanResult,01,01,-
00,BM-BIG-MANAGEMENT,00,PLAN,03,PlanResult,02,02,-
00,BM-BIG-MANAGEMENT,00,PLAN,03,PlanResult,03,03,-
00,BM-BIG-MANAGEMENT,00,PLAN,03,PlanResult,04,04,-
00,BM-BIG-MANAGEMENT,00,PLAN,03,PlanResult,05,05,-
00,BM-BIG-MANAGEMENT,00,PLAN,03,PlanResult,06,06,-
00,BM-BIG-MANAGEMENT,00,PLAN,03,PlanResult,07,07,-
00,BM-BIG-MANAGEMENT,00,PLAN,03,PlanResult,08,08,-
00,BM-BIG-MANAGEMENT,00,PLAN,03,PlanResult,09,09,-
01,BM-BIG-MANAGEMENT,01,WORK,00,Engineer,00,00,-
00,BM-BIG-MANAGEMENT,01,WORK,00,Engineer,01,01,-
00,BM-BIG-MANAGEMENT,01,WORK,00,Engineer,02,02,-
00,BM-BIG-MANAGEMENT,01,WORK,00,Engineer,03,03,-
00,BM-BIG-MANAGEMENT,01,WORK,00,Engineer,04,04,-
00,BM-BIG-MANAGEMENT,01,WORK,00,Engineer,05,05,-
00,BM-BIG-MANAGEMENT,01,WORK,00,Engineer,06,06,-
00,BM-BIG-MANAGEMENT,01,WORK,00,Engineer,07,07,-
00,BM-BIG-MANAGEMENT,01,WORK,00,Engineer,08,08,-
00,BM-BIG-MANAGEMENT,01,WORK,00,Engineer,09,09,-
00,BM-BIG-MANAGEMENT,01,WORK,01,Company,00,00,-
00,BM-BIG-MANAGEMENT,01,WORK,01,Company,01,01,-
00,BM-BIG-MANAGEMENT,01,WORK,01,Company,02,02,-
00,BM-BIG-MANAGEMENT,01,WORK,01,Company,03,03,-
00,BM-BIG-MANAGEMENT,01,WORK,01,Company,04,04,-
00,BM-BIG-MANAGEMENT,01,WORK,01,Company,05,05,-
00,BM-BIG-MANAGEMENT,01,WORK,01,Company,06,06,-
00,BM-BIG-MANAGEMENT,01,WORK,01,Company,07,07,-
00,BM-BIG-MANAGEMENT,01,WORK,01,Company,08,08,-
00,BM-BIG-MANAGEMENT,01,WORK,01,Company,09,09,-
00,BM-BIG-MANAGEMENT,01,WORK,02,Teacher,00,00,-
00,BM-BIG-MANAGEMENT,01,WORK,02,Teacher,01,01,-
00,BM-BIG-MANAGEMENT,01,WORK,02,Teacher,02,02,-
00,BM-BIG-MANAGEMENT,01,WORK,02,Teacher,03,03,-
00,BM-BIG-MANAGEMENT,01,WORK,02,Teacher,04,04,-
00,BM-BIG-MANAGEMENT,01,WORK,02,Teacher,05,05,-
00,BM-BIG-MANAGEMENT,01,WORK,02,Teacher,06,06,-
00,BM-BIG-MANAGEMENT,01,WORK,02,Teacher,07,07,-
00,BM-BIG-MANAGEMENT,01,WORK,02,Teacher,08,08,-
00,BM-BIG-MANAGEMENT,01,WORK,02,Teacher,09,09,-
00,BM-BIG-MANAGEMENT,01,WORK,03,Investor,00,00,-
00,BM-BIG-MANAGEMENT,01,WORK,03,Investor,01,01,-
00,BM-BIG-MANAGEMENT,01,WORK,03,Investor,02,02,-
00,BM-BIG-MANAGEMENT,01,WORK,03,Investor,03,03,-
00,BM-BIG-MANAGEMENT,01,WORK,03,Investor,04,04,-
00,BM-BIG-MANAGEMENT,01,WORK,03,Investor,05,05,-
00,BM-BIG-MANAGEMENT,01,WORK,03,Investor,06,06,-
00,BM-BIG-MANAGEMENT,01,WORK,03,Investor,07,07,-
00,BM-BIG-MANAGEMENT,01,WORK,03,Investor,08,08,-
00,BM-BIG-MANAGEMENT,01,WORK,03,Investor,09,09,-
00,BM-BIG-MANAGEMENT,02,LIFE,00,Myself,00,00,food
00,BM-BIG-MANAGEMENT,02,LIFE,00,Myself,00,01,fitness
00,BM-BIG-MANAGEMENT,02,LIFE,00,Myself,00,02,blood sugar
00,BM-BIG-MANAGEMENT,02,LIFE,00,Myself,00,03,blood pressure
00,BM-BIG-MANAGEMENT,02,LIFE,00,Myself,00,04,medicine health
00,BM-BIG-MANAGEMENT,02,LIFE,00,Myself,00,05,hair health
00,BM-BIG-MANAGEMENT,02,LIFE,00,Myself,00,06,eye health
00,BM-BIG-MANAGEMENT,02,LIFE,00,Myself,00,07,teeth health
00,BM-BIG-MANAGEMENT,02,LIFE,00,Myself,00,08,skin health
00,BM-BIG-MANAGEMENT,02,LIFE,00,Myself,00,09,nose health
00,BM-BIG-MANAGEMENT,02,LIFE,00,Myself,01,00,body beauty
00,BM-BIG-MANAGEMENT,02,LIFE,00,Myself,01,01,skin beauty
00,BM-BIG-MANAGEMENT,02,LIFE,00,Myself,01,02,hair beauty
00,BM-BIG-MANAGEMENT,02,LIFE,00,Myself,01,03,eyebrow beauty
00,BM-BIG-MANAGEMENT,02,LIFE,00,Myself,01,04,eye beauty
00,BM-BIG-MANAGEMENT,02,LIFE,00,Myself,01,05,nose beauty
00,BM-BIG-MANAGEMENT,02,LIFE,00,Myself,01,06,lip beauty
00,BM-BIG-MANAGEMENT,02,LIFE,00,Myself,01,07,teeth beauty
00,BM-BIG-MANAGEMENT,02,LIFE,00,Myself,01,08,hands beauty
00,BM-BIG-MANAGEMENT,02,LIFE,00,Myself,01,09,foot beauty
00,BM-BIG-MANAGEMENT,02,LIFE,01,Object,00,00,daily Object
00,BM-BIG-MANAGEMENT,02,LIFE,01,Object,01,01,clothes
00,BM-BIG-MANAGEMENT,02,LIFE,01,Object,02,02,books
00,BM-BIG-MANAGEMENT,02,LIFE,01,Object,03,03,Electronics
00,BM-BIG-MANAGEMENT,02,LIFE,01,Object,04,04,Default
00,BM-BIG-MANAGEMENT,02,LIFE,01,Object,05,05,Default
00,BM-BIG-MANAGEMENT,02,LIFE,01,Object,06,06,Default
00,BM-BIG-MANAGEMENT,02,LIFE,01,Object,07,07,Default
00,BM-BIG-MANAGEMENT,02,LIFE,01,Object,08,08,Default
00,BM-BIG-MANAGEMENT,02,LIFE,01,Object,09,09,Default
00,BM-BIG-MANAGEMENT,02,LIFE,02,Social,00,00,family
00,BM-BIG-MANAGEMENT,02,LIFE,02,Social,01,01,friends
00,BM-BIG-MANAGEMENT,02,LIFE,02,Social,02,02,colleague
00,BM-BIG-MANAGEMENT,02,LIFE,02,Social,03,03,classmate
00,BM-BIG-MANAGEMENT,02,LIFE,02,Social,04,04,Repairer
00,BM-BIG-MANAGEMENT,02,LIFE,02,Social,05,05,customer
00,BM-BIG-MANAGEMENT,02,LIFE,02,Social,06,06,Cleaner
00,BM-BIG-MANAGEMENT,02,LIFE,02,Social,07,07,Tax accountant
00,BM-BIG-MANAGEMENT,02,LIFE,02,Social,08,08,lawer
00,BM-BIG-MANAGEMENT,02,LIFE,02,Social,09,09,Administrative Staff
00,BM-BIG-MANAGEMENT,02,LIFE,03,Fancial,00,00,Default
00,BM-BIG-MANAGEMENT,02,LIFE,03,Fancial,01,01,Default
00,BM-BIG-MANAGEMENT,02,LIFE,03,Fancial,02,02,Default
00,BM-BIG-MANAGEMENT,02,LIFE,03,Fancial,03,03,Default
00,BM-BIG-MANAGEMENT,02,LIFE,03,Fancial,04,04,Default
00,BM-BIG-MANAGEMENT,02,LIFE,03,Fancial,05,05,Default
00,BM-BIG-MANAGEMENT,02,LIFE,03,Fancial,06,06,Default
00,BM-BIG-MANAGEMENT,02,LIFE,03,Fancial,07,07,Default
00,BM-BIG-MANAGEMENT,02,LIFE,03,Fancial,08,08,Default
00,BM-BIG-MANAGEMENT,02,LIFE,03,Fancial,09,09,Default
00,BM-BIG-MANAGEMENT,03,STUDY,00,StudyPractice,00,00,-
00,BM-BIG-MANAGEMENT,03,STUDY,00,StudyPractice,01,01,-
00,BM-BIG-MANAGEMENT,03,STUDY,00,StudyPractice,02,02,-
00,BM-BIG-MANAGEMENT,03,STUDY,00,StudyPractice,03,03,-
00,BM-BIG-MANAGEMENT,03,STUDY,00,StudyPractice,04,04,-
00,BM-BIG-MANAGEMENT,03,STUDY,00,StudyPractice,05,05,-
00,BM-BIG-MANAGEMENT,03,STUDY,00,StudyPractice,06,06,-
00,BM-BIG-MANAGEMENT,03,STUDY,00,StudyPractice,07,07,-
00,BM-BIG-MANAGEMENT,03,STUDY,00,StudyPractice,08,08,-
00,BM-BIG-MANAGEMENT,03,STUDY,00,StudyPractice,09,09,-
00,BM-BIG-MANAGEMENT,03,STUDY,01,StudyWork,00,00,-
00,BM-BIG-MANAGEMENT,03,STUDY,01,StudyWork,01,01,-
00,BM-BIG-MANAGEMENT,03,STUDY,01,StudyWork,02,02,-
00,BM-BIG-MANAGEMENT,03,STUDY,01,StudyWork,03,03,-
00,BM-BIG-MANAGEMENT,03,STUDY,01,StudyWork,04,04,-
00,BM-BIG-MANAGEMENT,03,STUDY,01,StudyWork,05,05,-
00,BM-BIG-MANAGEMENT,03,STUDY,01,StudyWork,06,06,-
00,BM-BIG-MANAGEMENT,03,STUDY,01,StudyWork,07,07,-
00,BM-BIG-MANAGEMENT,03,STUDY,01,StudyWork,08,08,-
00,BM-BIG-MANAGEMENT,03,STUDY,01,StudyWork,09,09,-
00,BM-BIG-MANAGEMENT,03,STUDY,02,StudyLife,00,00,-
00,BM-BIG-MANAGEMENT,03,STUDY,02,StudyLife,01,01,-
00,BM-BIG-MANAGEMENT,03,STUDY,02,StudyLife,02,02,-
00,BM-BIG-MANAGEMENT,03,STUDY,02,StudyLife,03,03,-
00,BM-BIG-MANAGEMENT,03,STUDY,02,StudyLife,04,04,-
00,BM-BIG-MANAGEMENT,03,STUDY,02,StudyLife,05,05,-
00,BM-BIG-MANAGEMENT,03,STUDY,02,StudyLife,06,06,-
00,BM-BIG-MANAGEMENT,03,STUDY,02,StudyLife,07,07,-
00,BM-BIG-MANAGEMENT,03,STUDY,02,StudyLife,08,08,-
00,BM-BIG-MANAGEMENT,03,STUDY,02,StudyLife,09,09,-
00,BM-BIG-MANAGEMENT,03,STUDY,03,StudyStudy,00,00,Chinese
00,BM-BIG-MANAGEMENT,03,STUDY,03,StudyStudy,00,01,Japnese
00,BM-BIG-MANAGEMENT,03,STUDY,03,StudyStudy,00,02,English
00,BM-BIG-MANAGEMENT,03,STUDY,03,StudyStudy,00,03,Korean
00,BM-BIG-MANAGEMENT,03,STUDY,03,StudyStudy,00,04,France
00,BM-BIG-MANAGEMENT,03,STUDY,03,StudyStudy,00,05,Germen
00,BM-BIG-MANAGEMENT,03,STUDY,03,StudyStudy,00,06,Portuguese
00,BM-BIG-MANAGEMENT,03,STUDY,03,StudyStudy,00,07,Spanish
00,BM-BIG-MANAGEMENT,03,STUDY,03,StudyStudy,00,08,Arabic
00,BM-BIG-MANAGEMENT,03,STUDY,03,StudyStudy,00,09,Russian
00,BM-BIG-MANAGEMENT,03,STUDY,03,StudyStudy,00,10,Thai
00,BM-BIG-MANAGEMENT,03,STUDY,03,StudyStudy,00,01,AI
00,BM-BIG-MANAGEMENT,03,STUDY,03,StudyStudy,00,02,C#
00,BM-BIG-MANAGEMENT,03,STUDY,03,StudyStudy,00,03,JAVA
00,BM-BIG-MANAGEMENT,03,STUDY,03,StudyStudy,00,04,Linux
00,BM-BIG-MANAGEMENT,03,STUDY,03,StudyStudy,00,05,-
00,BM-BIG-MANAGEMENT,03,STUDY,03,StudyStudy,00,06,-
